Sample	Unique Reads	Duplicate Reads
SRR10141109_2	108694.0	944293.0
SRR10141110_1	50589.0	514376.0
SRR10141110_2	56182.0	508783.0
SRR10141111_1	51123.0	542749.0
SRR10141111_2	68900.0	524972.0
SRR10141112_1	52222.0	433694.0
SRR10141112_2	72373.0	413543.0
SRR10141113_1	34746.0	245312.0
SRR10141113_2	39814.0	240244.0
SRR10141114_1	22538.0	200926.0
SRR10141114_2	25452.0	198012.0
SRR10141115_1	36512.0	310796.0
SRR10141115_2	45092.0	302216.0
SRR10141116_1	138873.0	1507869.0
SRR10141116_2	184722.0	1462020.0
SRR10141117_1	121699.0	1209213.0
SRR10141117_2	162932.0	1167980.0
SRR10141118_1	117733.0	987270.0
SRR10141118_2	142248.0	962755.0
SRR10141119_1	92385.0	1223587.0
SRR10141119_2	126562.0	1189410.0
