Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR10141047_1	5.550366619860446					
SRR10141047_1_val_1		24.385694180607075	47.0	144.06136034615741	10.0	1738631.0
SRR10141047_2	6.744507271508328					
SRR10141047_2_val_2		24.192223026620397	47.0	143.61216324798073	10.0	1738631.0
SRR10141048_1	1.492148112336048					
SRR10141048_1_val_1		28.732696919100505	47.0	124.03884660243921	9.090909090909092	1334943.0
SRR10141048_2	1.6489178659533315					
SRR10141048_2_val_2		29.086456210101503	47.0	123.96860390293818	9.090909090909092	1334943.0
SRR10141049_1	5.009119340537162					
SRR10141049_1_val_1		26.7902324581421	47.0	144.72743872827775	10.0	1270529.0
SRR10141049_2	6.080828462416439					
SRR10141049_2_val_2		26.73199723960984	47.0	144.38454690920082	10.0	1270529.0
SRR10141050_1	5.178536530239258					
SRR10141050_1_val_1		35.99492922811616	47.0	144.52590805643436	10.0	1457481.0
SRR10141050_2	6.26110382445549					
SRR10141050_2_val_2		35.49756425009892	47.0	144.19188654946444	10.0	1457481.0
SRR10141051_1	5.45959559638674					
SRR10141051_1_val_1		22.62458881735651	47.0	144.16876801393556	10.0	1047106.0
SRR10141051_2	6.848602472636046					
SRR10141051_2_val_2		22.38091273969178	47.0	143.65953303676991	10.0	1047106.0
SRR10141052_1	4.824512531771701					
SRR10141052_1_val_1		92.19876826786033	45.0	146.26669310866353	18.181818181818183	1147165.0
SRR10141052_2	6.274915479371145					
SRR10141052_2_val_2		87.39110678019482	45.0	145.65121320821328	27.27272727272727	1147165.0
SRR10141053_1	6.169173111261072					
SRR10141053_1_val_1		22.361209263057162	48.0	143.2821114620875	10.0	1563258.0
SRR10141053_2	7.567861910948329					
SRR10141053_2_val_2		22.657188419106106	47.0	142.81005950393345	10.0	1563258.0
SRR10141054_1	5.461923532452491					
SRR10141054_1_val_1		43.145283741912785	48.0	144.09336169465567	10.0	5501389.0
SRR10141054_2	6.771551803303495					
SRR10141054_2_val_2		42.511785560067	48.0	143.57913774139587	10.0	5501389.0
SRR10141055_1	5.670575847079972					
SRR10141055_1_val_1		28.92449440097306	47.0	142.44938610221578	10.0	1392740.0
SRR10141055_2	6.639992723220884					
SRR10141055_2_val_2		28.762305543904205	47.0	142.15431954277182	10.0	1392740.0
SRR10141056_1	5.96104571003517					
SRR10141056_1_val_1		27.756160114837243	47.0	142.0968704644779	10.0	1236765.0
SRR10141056_2	6.82830969985178					
SRR10141056_2_val_2		27.65422239629197	47.0	141.83351404672675	10.0	1236765.0
SRR10141057_1	5.578642196261571					
SRR10141057_1_val_1		31.600818479915233	47.0	143.89867231418245	10.0	1642256.0
SRR10141057_2	6.713093946739604					
SRR10141057_2_val_2		31.181298072953425	47.0	143.50559596067848	10.0	1642256.0
SRR10141058_1	8.587452785585016					
SRR10141058_1_val_1		26.651590044437853	47.0	138.82101704572213	9.090909090909092	870541.0
SRR10141058_2	11.973064244695534					
SRR10141058_2_val_2		26.219373652936	46.0	134.92382782660437	9.090909090909092	870541.0
SRR10141059_1	6.262561646180767					
SRR10141059_1_val_1		16.588010143630186	47.0	142.18115208856577	9.090909090909092	866791.0
SRR10141059_2	8.143265555704668					
SRR10141059_2_val_2		16.785779901965682	47.0	140.46060469017328	9.090909090909092	866791.0
SRR10141060_1	6.733178208557221					
SRR10141060_1_val_1		25.913743674273334	46.0	142.37105618325876	10.0	1780477.0
SRR10141060_2	7.712999764854217					
SRR10141060_2_val_2		25.63574035819707	46.0	142.0008649367557	10.0	1780477.0
SRR10141061_1	2.855048952827411					
SRR10141061_1_val_1		23.925327908572996	47.0	142.5401041540343	10.0	1443055.0
SRR10141061_2	3.8888949384286704					
SRR10141061_2_val_2		23.608653745467365	47.0	142.2160104777711	10.0	1443055.0
SRR10141062_1	2.5628663407377594					
SRR10141062_1_val_1		24.901582905940927	48.0	140.60987469960256	10.0	1384832.0
SRR10141062_2	3.5405377771679376					
SRR10141062_2_val_2		24.58874365732771	47.0	140.35000418823367	10.0	1384832.0
SRR10141063_1	12.992915269705177					
SRR10141063_1_val_1		85.6261876012815	48.0	142.1682775047155	30.0	1016862.0
SRR10141063_2	11.324265428329838					
SRR10141063_2_val_2		78.36177063242451	48.0	139.57514884025562	30.0	1016862.0
SRR10141064_1	8.121795352566446					
SRR10141064_1_val_1		14.408964223391578	48.0	140.6354143985069	10.0	1093030.0
SRR10141064_2	9.53536618391274					
SRR10141064_2_val_2		14.173960069997705	48.0	140.0393017574998	10.0	1093030.0
SRR10141065_1	8.554694131213001					
SRR10141065_1_val_1		12.71275279713133	48.0	139.76513676208253	10.0	1002873.0
SRR10141065_2	9.585302201889407					
SRR10141065_2_val_2		12.761842417485653	48.0	139.38616355211477	10.0	1002873.0
SRR10141066_1	7.588101332891842					
SRR10141066_1_val_1		28.77563331399851	47.0	140.7280765298993	10.0	1631676.0
SRR10141066_2	8.68111279884188					
SRR10141066_2_val_2		28.65861358077173	47.0	140.34095678308685	10.0	1631676.0
SRR10141067_1	6.346188304169314					
SRR10141067_1_val_1		18.87454843854546	47.0	141.82798634507287	9.090909090909092	895208.0
SRR10141067_2	7.824379784273624					
SRR10141067_2_val_2		18.402064965680225	47.0	141.1938912520889	9.090909090909092	895208.0
SRR10141068_1	9.456316320929117					
SRR10141068_1_val_1		12.719765162923508	45.0	138.19740526662096	10.0	1241669.0
SRR10141068_2	10.88032359217068					
SRR10141068_2_val_2		12.677285989264803	44.0	137.61942514470442	10.0	1241669.0
SRR10141069_1	1.9020613960341413					
SRR10141069_1_val_1		91.99526749247136	47.0	148.7220396869035	27.27272727272727	671103.0
SRR10141069_2	4.472438504673668					
SRR10141069_2_val_2		88.44767494706475	47.0	147.4431748926767	27.27272727272727	671103.0
SRR10141070_1	2.9059513149724983					
SRR10141070_1_val_1		92.04516722940255	44.0	147.48544684166177	30.0	1257940.0
SRR10141070_2	4.5345457494490145					
SRR10141070_2_val_2		90.2482937473224	44.0	147.35578564955404	30.0	1257940.0
SRR10141071_1	9.379083223491					
SRR10141071_1_val_1		25.14903513675972	46.0	138.66917178129194	10.0	1711432.0
SRR10141071_2	10.751256669059856					
SRR10141071_2_val_2		24.687540250402222	46.0	138.2095666085477	10.0	1711432.0
SRR10141072_1	1.415934443486607					
SRR10141072_1_val_1		91.56218905472637	46.0	149.33648514185828	27.27272727272727	557775.0
SRR10141072_2	3.9220147298692476					
SRR10141072_2_val_2		87.94800770920173	46.0	148.83999820716238	27.27272727272727	557775.0
SRR10141073_1	3.055676975717885					
SRR10141073_1_val_1		91.72436817148332	45.0	146.9988695249677	30.0	1460448.0
SRR10141073_2	3.844336274577883					
SRR10141073_2_val_2		90.49115560165508	45.0	147.1086420057407	30.0	1460448.0
SRR10141074_1	4.7189164406196555					
SRR10141074_1_val_1		85.46490491867137	44.0	145.07270059052163	20.0	1252452.0
SRR10141074_2	8.429791140467723					
SRR10141074_2_val_2		78.08630467440777	44.0	142.26645572045874	20.0	1252452.0
SRR10141075_1	3.4207774301208893					
SRR10141075_1_val_1		91.0149438929003	44.0	146.82612499204984	30.0	833317.0
SRR10141075_2	4.921480876280378					
SRR10141075_2_val_2		88.78050009780192	44.0	146.66528943967302	30.0	833317.0
SRR10141076_1	12.800246926878838					
SRR10141076_1_val_1		91.52850472763016	48.0	132.96764380975566	30.0	870838.0
SRR10141076_2	20.396422351552683					
SRR10141076_2_val_2		87.59571683032644	48.0	130.2599725781374	30.0	870838.0
SRR10141077_1	12.723410647570843					
SRR10141077_1_val_1		91.30038101656255	49.0	133.03124595007907	30.0	771620.0
SRR10141077_2	20.095753412646545					
SRR10141077_2_val_2		87.56486353386381	48.0	130.25339545372074	30.0	771620.0
SRR10141078_1	5.186594059867558					
SRR10141078_1_val_1		92.66586529588032	43.0	145.07265262920143	30.0	1806404.0
SRR10141078_2	6.803632716475858					
SRR10141078_2_val_2		90.01561476688337	43.0	144.34675687166327	30.0	1806404.0
SRR10141079_1	4.538308569275236					
SRR10141079_1_val_1		92.85706639255588	43.0	145.64395450694676	30.0	1833159.0
SRR10141079_2	6.39298922775324					
SRR10141079_2_val_2		90.04298851062995	43.0	144.80070359417815	30.0	1833159.0
SRR10141080_1	4.814207212369919					
SRR10141080_1_val_1		92.7679943269558	43.0	145.43981188819612	30.0	2009018.0
SRR10141080_2	6.588467140354691					
SRR10141080_2_val_2		89.92330464866245	43.0	144.67368535274449	30.0	2009018.0
SRR10141081_1	2.5584684149376757					
SRR10141081_1_val_1		92.84709024050136	45.0	148.91652497886798	27.27272727272727	928685.0
SRR10141081_2	4.489439540880626					
SRR10141081_2_val_2		90.51088366884358	45.0	148.13900084528123	27.27272727272727	928685.0
SRR10141082_1	1.3733713534403191					
SRR10141082_1_val_1		91.53632128876744	44.0	149.2633430393742	27.27272727272727	602374.0
SRR10141082_2	2.6997139480139274					
SRR10141082_2_val_2		89.88269746038176	44.0	148.64941879961617	27.27272727272727	602374.0
SRR10141083_1	13.808134438400806					
SRR10141083_1_val_1		24.455524629852704	47.0	127.60881000843966	10.0	1007150.0
SRR10141083_2	21.188646540726552					
SRR10141083_2_val_2		23.28670719604939	47.0	125.41420245246488	10.0	1007150.0
SRR10141084_1	1.3011655252621213					
SRR10141084_1_val_1		92.63525008764488	43.0	149.34176494781525	27.27272727272727	658909.0
SRR10141084_2	3.2267412783099427					
SRR10141084_2_val_2		89.28486331192926	43.0	148.58077822582482	27.27272727272727	658909.0
SRR10141085_1	5.907024071424748					
SRR10141085_1_val_1		93.21916575728066	45.0	144.05127445188924	30.0	2965824.0
SRR10141085_2	7.183511683271651					
SRR10141085_2_val_2		91.70100199898391	45.0	142.98471015137784	30.0	2965824.0
SRR10141086_1	4.153318114651559					
SRR10141086_1_val_1		91.36431803687606	45.0	145.36961045292983	30.0	918862.0
SRR10141086_2	5.345990202420371					
SRR10141086_2_val_2		89.89924493558337	45.0	145.24311485293765	20.0	918862.0
SRR10141087_1	2.702453359994055					
SRR10141087_1_val_1		92.50057163000295	44.0	147.35580394996333	27.27272727272727	839704.0
SRR10141087_2	4.653175118993551					
SRR10141087_2_val_2		90.37303621276068	44.0	146.23022279279365	27.27272727272727	839704.0
SRR10141088_1	5.312543109822922					
SRR10141088_1_val_1		91.92760312707918	48.0	145.1617156312375	9.090909090909092	769536.0
SRR10141088_2	7.241678128404476					
SRR10141088_2_val_2		89.02299567531604	48.0	144.49056444402862	9.090909090909092	769536.0
SRR10141089_1	3.754484855975508					
SRR10141089_1_val_1		91.83404575439084	49.0	146.08866054694803	9.090909090909092	689901.0
SRR10141089_2	5.683352123010789					
SRR10141089_2_val_2		89.13090428916612	49.0	145.40603216983305	9.090909090909092	689901.0
SRR10141090_1	1.7416327876125515					
SRR10141090_1_val_1		92.6110559921203	44.0	148.76747842342775	27.27272727272727	696473.0
SRR10141090_2	3.20620511258177					
SRR10141090_2_val_2		90.63222838501994	44.0	148.24044291738517	27.27272727272727	696473.0
SRR10141091_1	3.634563042685679					
SRR10141091_1_val_1		91.68492004810847	50.0	146.26243391674794	27.27272727272727	720871.0
SRR10141091_2	5.2328089605318935					
SRR10141091_2_val_2		89.7468479103751	50.0	145.83672529481697	27.27272727272727	720871.0
SRR10141092_1	3.3384690972007394					
SRR10141092_1_val_1		91.28338042869508	45.0	146.41231511888398	18.181818181818183	628512.0
SRR10141092_2	4.166633713891802					
SRR10141092_2_val_2		90.10313247797974	45.0	146.06070051168473	27.27272727272727	628512.0
SRR10141093_1	3.4285305501516388					
SRR10141093_1_val_1		91.05689559933714	45.0	146.36705779950117	18.181818181818183	597410.0
SRR10141093_2	4.502218124697397					
SRR10141093_2_val_2		89.64998911970004	45.0	145.98701561741518	18.181818181818183	597410.0
SRR10141094_1	2.923123812666505					
SRR10141094_1_val_1		92.15519416749234	46.0	147.1205041177775	9.090909090909092	915421.0
SRR10141094_2	4.558308812969539					
SRR10141094_2_val_2		88.28794806101688	46.0	146.54703136589612	9.090909090909092	915421.0
SRR10141095_1	4.097485092030803					
SRR10141095_1_val_1		92.18468696862489	46.0	145.4423709735501	30.0	1369041.0
SRR10141095_2	7.065956880856519					
SRR10141095_2_val_2		90.1775023897603	46.0	145.31715558555223	20.0	1369041.0
SRR10141096_1	3.5082573103873242					
SRR10141096_1_val_1		93.12180502410081	46.0	146.7074050174342	18.181818181818183	1589976.0
SRR10141096_2	4.372388200251609					
SRR10141096_2_val_2		90.84965083601033	46.0	146.32973768157507	18.181818181818183	1589976.0
SRR10141097_1	5.035191841059755					
SRR10141097_1_val_1		93.21919506452862	51.0	144.94557782873116	30.0	1334989.0
SRR10141097_2	6.870443044933844					
SRR10141097_2_val_2		91.61293770807664	51.0	144.93879575037698	30.0	1334989.0
SRR10141098_1	3.120020061296052					
SRR10141098_1_val_1		90.5024420628591	45.0	146.7953576549987	18.181818181818183	515343.0
SRR10141098_2	4.931601678610999					
SRR10141098_2_val_2		88.39471963333159	45.0	146.22515683729088	27.27272727272727	515343.0
SRR10141099_1	2.9777418808620624					
SRR10141099_1_val_1		90.73903794438424	45.0	146.8733356685969	18.181818181818183	548118.0
SRR10141099_2	5.927790213521067					
SRR10141099_2_val_2		87.73804180851569	45.0	146.1848142188361	9.090909090909092	548118.0
SRR10141100_1	3.010888014438223					
SRR10141100_1_val_1		90.55069781130439	45.0	146.90881596679006	18.181818181818183	516472.0
SRR10141100_2	5.568907344115356					
SRR10141100_2_val_2		87.58751684505646	45.0	146.1685531839093	18.181818181818183	516472.0
SRR10141101_1	3.405127133864961					
SRR10141101_1_val_1		90.76296168319665	46.0	146.47962682014264	9.090909090909092	740876.0
SRR10141101_2	4.693196653270484					
SRR10141101_2_val_2		88.57298657265183	46.0	146.18352058914041	9.090909090909092	740876.0
SRR10141102_1	2.927964962611639					
SRR10141102_1_val_1		91.47641487237748	45.0	146.9446325936582	18.181818181818183	743795.0
SRR10141102_2	3.7151869841372878					
SRR10141102_2_val_2		89.75389724319201	45.0	146.7156904792315	18.181818181818183	743795.0
SRR10141103_1	2.7323950102180867					
SRR10141103_1_val_1		91.74348219958117	46.0	147.21655656603684	9.090909090909092	679984.0
SRR10141103_2	3.838846843318299					
SRR10141103_2_val_2		90.00638250311772	46.0	146.8737985011412	9.090909090909092	679984.0
SRR10141104_1	5.568428605559615					
SRR10141104_1_val_1		92.01828703548614	49.0	144.92426322956265	30.0	1396059.0
SRR10141104_2	7.175693677388996					
SRR10141104_2_val_2		89.8674948845225	49.0	144.76030454300283	30.0	1396059.0
SRR10141105_1	2.9876073321864713					
SRR10141105_1_val_1		92.60436991428212	45.0	147.25363240531092	30.0	2960848.0
SRR10141105_2	4.941124371646203					
SRR10141105_2_val_2		90.50061013795013	45.0	147.12269322842644	30.0	2960848.0
SRR10141106_1	1.8884715379090662					
SRR10141106_1_val_1		91.31139549055455	45.0	148.4655784800209	18.181818181818183	574350.0
SRR10141106_2	2.964497512644279					
SRR10141106_2_val_2		89.32462784016714	45.0	148.12024027161138	27.27272727272727	574350.0
SRR10141107_1	3.6943697497257286					
SRR10141107_1_val_1		90.95000881659342	44.0	146.3335228203374	20.0	1453046.0
SRR10141107_2	5.947820154327007					
SRR10141107_2_val_2		88.62387131457021	44.0	145.00616842137137	20.0	1453046.0
SRR10141108_1	2.446247329932222					
SRR10141108_1_val_1		92.90296876656487	44.0	147.77756992725992	20.0	1169644.0
SRR10141108_2	3.948550881346575					
SRR10141108_2_val_2		91.50621898628985	44.0	147.865347062867	20.0	1169644.0
SRR10141109_1	2.3853077134333405					
SRR10141109_1_val_1		92.16213932701244	45.0	147.88970940277184	20.0	1029707.0
SRR10141109_2	3.845645987830884					
SRR10141109_2_val_2		90.88420298201333	45.0	147.98528319220904	20.0	1029707.0
SRR10141110_1	1.6920517200180543					
SRR10141110_1_val_1		91.08124738399236	48.0	124.18476079404999	27.27272727272727	559058.0
SRR10141110_2	2.4879248735593817					
SRR10141110_2_val_2		90.30315280346584	48.0	123.53560811221733	27.27272727272727	559058.0
SRR10141111_1	3.7328667340985646					
SRR10141111_1_val_1		91.41592055663837	46.0	146.09924934731444	18.181818181818183	583359.0
SRR10141111_2	5.233277017171583					
SRR10141111_2_val_2		89.61737112138495	45.0	145.47026787964188	18.181818181818183	583359.0
SRR10141112_1	10.101203549257608					
SRR10141112_1_val_1		89.21215508269654	49.0	142.74071547856622	9.090909090909092	454493.0
SRR10141112_2	10.705968365938375					
SRR10141112_2_val_2		88.08100454792483	49.0	142.35921565348642	9.090909090909092	454493.0
SRR10141113_1	8.619595780041589					
SRR10141113_1_val_1		87.64487470498925	49.0	143.07550771913475	9.090909090909092	266092.0
SRR10141113_2	9.141334914588885					
SRR10141113_2_val_2		86.86544503404838	49.0	142.73055559731222	9.090909090909092	266092.0
SRR10141114_1	4.779183656825					
SRR10141114_1_val_1		89.90629851408295	52.0	147.00154320987653	27.27272727272727	216432.0
SRR10141114_2	5.389753580172802					
SRR10141114_2_val_2		89.29640718562874	52.0	146.61218766171362	27.27272727272727	216432.0
SRR10141115_1	3.3786965585902453					
SRR10141115_1_val_1		89.50247072756655	46.0	146.5604701091554	9.090909090909092	342814.0
SRR10141115_2	4.231652466879218					
SRR10141115_2_val_2		87.92027163418064	46.0	146.3764315343014	9.090909090909092	342814.0
SRR10141116_1	5.81399213301937					
SRR10141116_1_val_1		91.7753646438382	49.0	143.82079216139024	30.0	1590282.0
SRR10141116_2	7.275968979117112					
SRR10141116_2_val_2		90.30275394643091	49.0	143.54309424366244	30.0	1590282.0
SRR10141117_1	6.633872111754948					
SRR10141117_1_val_1		91.09356494822656	50.0	143.85378397312263	30.0	1271851.0
SRR10141117_2	7.58616936436038					
SRR10141117_2_val_2		89.5581582185321	50.0	143.57337219532792	30.0	1271851.0
SRR10141118_1	5.0760498669468115					
SRR10141118_1_val_1		89.59218052230419	45.0	144.32615018557647	20.0	1080956.0
SRR10141118_2	6.240984524491387					
SRR10141118_2_val_2		87.9842038911692	45.0	143.85956412656944	20.0	1080956.0
SRR10141119_1	0.907625725626605					
SRR10141119_1_val_1		93.0119790457339	45.0	146.87717563275882	20.0	1296347.0
SRR10141119_2	1.8001317460153716					
SRR10141119_2_val_2		91.51997428867888	45.0	146.5522927117508	20.0	1296347.0
