Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR10141047_1	24.212372919628137	47.0	151.0	10.0	1794388.0
SRR10141047_2	23.868004253406554	47.0	151.0	10.0	1794388.0
SRR10141048_1	28.687088918760978	47.0	126.0	0.0	1342693.0
SRR10141048_2	28.99894769785729	47.0	126.0	0.0	1342693.0
SRR10141049_1	26.644930254445043	47.0	151.0	10.0	1308205.0
SRR10141049_2	26.42689908853633	47.0	151.0	10.0	1308205.0
SRR10141050_1	35.70842726291684	47.0	151.0	10.0	1502540.0
SRR10141050_2	34.97788346258734	47.0	151.0	10.0	1502540.0
SRR10141051_1	22.45902849024091	47.0	151.0	10.0	1082121.0
SRR10141051_2	22.005329956378063	47.0	151.0	10.0	1082121.0
SRR10141052_1	92.24240810162087	46.0	151.0	36.36363636363637	1186528.0
SRR10141052_2	86.98601308352296	46.0	151.0	36.36363636363637	1186528.0
SRR10141053_1	22.149547103165844	48.0	151.0	10.0	1618915.0
SRR10141053_2	22.253650263583097	47.0	151.0	10.0	1618915.0
SRR10141054_1	42.737164993942955	48.0	151.0	10.0	5668280.0
SRR10141054_2	41.85248085818796	48.0	151.0	10.0	5668280.0
SRR10141055_1	28.738543343728907	48.0	150.0	10.0	1436533.0
SRR10141055_2	28.310388282434687	47.0	150.0	10.0	1436533.0
SRR10141056_1	27.607603257834526	47.0	150.0	10.0	1275803.0
SRR10141056_2	27.241161285267296	47.0	150.0	10.0	1275803.0
SRR10141057_1	31.325223497612555	47.0	151.0	10.0	1692256.0
SRR10141057_2	30.760566674143035	47.0	151.0	10.0	1692256.0
SRR10141058_1	26.727388609068683	47.0	151.0	9.090909090909092	890176.0
SRR10141058_2	26.132012383001353	47.0	151.0	9.090909090909092	890176.0
SRR10141059_1	16.61122574546563	47.0	151.0	9.090909090909092	882881.0
SRR10141059_2	16.607062741629775	47.0	151.0	9.090909090909092	882881.0
SRR10141060_1	25.89660211806752	47.0	151.0	10.0	1837299.0
SRR10141060_2	25.3829018848798	47.0	151.0	10.0	1837299.0
SRR10141061_1	23.73100966060818	47.0	145.30699970916544	10.0	1488819.0
SRR10141061_2	23.266818015791983	47.0	145.33259449268178	0.0	1488819.0
SRR10141062_1	24.79034514867081	48.0	143.1421734425983	10.0	1424183.0
SRR10141062_2	24.327773305782756	47.0	143.22280001937952	0.0	1424183.0
SRR10141063_1	85.70950272564761	49.0	151.0	40.0	1148375.0
SRR10141063_2	75.98570614935268	50.0	151.0	40.0	1148375.0
SRR10141064_1	14.253723738655069	48.0	151.0	10.0	1137213.0
SRR10141064_2	13.965498557735017	48.0	151.0	10.0	1137213.0
SRR10141065_1	12.59542427309917	48.0	151.0	10.0	1038285.0
SRR10141065_2	12.59505527526872	48.0	151.0	10.0	1038285.0
SRR10141066_1	28.61757065547522	47.0	151.0	10.0	1677235.0
SRR10141066_2	28.31951639177639	47.0	151.0	10.0	1677235.0
SRR10141067_1	18.881501224003884	47.0	151.0	9.090909090909092	911724.0
SRR10141067_2	18.153190429699848	47.0	151.0	9.090909090909092	911724.0
SRR10141068_1	12.798132521470535	45.0	151.0	10.0	1285762.0
SRR10141068_2	12.554139688405343	45.0	151.0	10.0	1285762.0
SRR10141069_1	91.8930396665416	47.0	151.0	18.181818181818183	687582.0
SRR10141069_2	86.8052101422085	47.0	151.0	18.181818181818183	687582.0
SRR10141070_1	91.8741861593386	44.0	151.0	20.0	1292844.0
SRR10141070_2	88.7962264956102	44.0	151.0	20.0	1292844.0
SRR10141071_1	24.994440356382967	47.0	151.0	10.0	1781934.0
SRR10141071_2	24.34662266265275	47.0	151.0	10.0	1781934.0
SRR10141072_1	91.55897502088715	46.0	151.0	18.181818181818183	573319.0
SRR10141072_2	85.84243675859338	46.0	151.0	18.181818181818183	573319.0
SRR10141073_1	91.71624844503786	45.0	151.0	20.0	1484910.0
SRR10141073_2	89.59663274135589	45.0	151.0	20.0	1484910.0
SRR10141074_1	84.64733126382033	44.0	151.0	10.0	1300048.0
SRR10141074_2	76.48040930221856	44.0	151.0	10.0	1300048.0
SRR10141075_1	90.851180875206	44.0	151.0	20.0	856187.0
SRR10141075_2	87.30368326330465	44.0	151.0	20.0	856187.0
SRR10141076_1	92.79542342537405	49.0	148.44911798492785	30.0	997602.0
SRR10141076_2	86.5378814429744	48.0	148.8083814988342	30.0	997602.0
SRR10141077_1	92.66206359613179	50.0	148.68920281738878	30.0	878544.0
SRR10141077_2	86.4223718428966	49.0	149.00031870913693	30.0	878544.0
SRR10141078_1	92.69937535257323	43.0	151.0	30.0	1874111.0
SRR10141078_2	87.96952692803202	43.0	151.0	30.0	1874111.0
SRR10141079_1	92.88964719532561	43.0	151.0	20.0	1894348.0
SRR10141079_2	88.18979561236938	43.0	151.0	20.0	1894348.0
SRR10141080_1	92.6897302678217	43.0	151.0	20.0	2080809.0
SRR10141080_2	89.01831826281914	43.0	151.0	20.0	2080809.0
SRR10141081_1	92.86372507637464	45.0	151.0	18.181818181818183	957124.0
SRR10141081_2	88.11028356186014	45.0	151.0	18.181818181818183	957124.0
SRR10141082_1	91.5190157736568	44.0	151.0	18.181818181818183	609941.0
SRR10141082_2	88.99467325528207	44.0	151.0	18.181818181818183	609941.0
SRR10141083_1	28.66418035559404	48.0	144.32990152815518	10.0	1151192.0
SRR10141083_2	24.72812678898994	47.0	145.15728827163497	10.0	1151192.0
SRR10141084_1	92.6304313133588	43.0	151.0	18.181818181818183	670487.0
SRR10141084_2	88.00334682104202	43.0	151.0	18.181818181818183	670487.0
SRR10141085_1	93.15443269131106	45.0	151.0	30.0	3064533.0
SRR10141085_2	90.60788380706097	45.0	151.0	30.0	3064533.0
SRR10141086_1	91.34904147221677	45.0	151.0	30.0	937688.0
SRR10141086_2	89.28715507103645	45.0	151.0	20.0	937688.0
SRR10141087_1	92.50579473010437	45.0	151.0	18.181818181818183	853793.0
SRR10141087_2	89.2646109771338	45.0	151.0	27.27272727272727	853793.0
SRR10141088_1	91.9294031420446	48.0	151.0	18.181818181818183	796806.0
SRR10141088_2	87.32481486824688	48.0	151.0	18.181818181818183	796806.0
SRR10141089_1	91.82800240373713	49.0	151.0	18.181818181818183	705568.0
SRR10141089_2	87.50085037870198	49.0	151.0	18.181818181818183	705568.0
SRR10141090_1	92.60704297280054	44.0	151.0	18.181818181818183	706889.0
SRR10141090_2	89.52240026369063	44.0	151.0	18.181818181818183	706889.0
SRR10141091_1	91.66121612636206	50.0	151.0	27.27272727272727	736930.0
SRR10141091_2	88.4394718629992	50.0	151.0	27.27272727272727	736930.0
SRR10141092_1	91.26809824649851	45.0	151.0	18.181818181818183	634730.0
SRR10141092_2	89.4525231200668	46.0	151.0	27.27272727272727	634730.0
SRR10141093_1	91.0404662472908	45.0	151.0	18.181818181818183	605344.0
SRR10141093_2	88.71170772321193	45.0	151.0	18.181818181818183	605344.0
SRR10141094_1	92.11079823492042	46.0	151.0	18.181818181818183	931856.0
SRR10141094_2	87.0882025969838	46.0	151.0	18.181818181818183	931856.0
SRR10141095_1	92.24128707948687	46.0	151.0	30.0	1424527.0
SRR10141095_2	87.67727242508134	46.0	151.0	20.0	1424527.0
SRR10141096_1	92.95334483112268	46.0	151.0	27.27272727272727	1614443.0
SRR10141096_2	89.90109867710989	46.0	151.0	27.27272727272727	1614443.0
SRR10141097_1	93.22280353806406	51.0	151.0	30.0	1392626.0
SRR10141097_2	89.71906133971729	51.0	151.0	30.0	1392626.0
SRR10141098_1	90.52596320008526	45.0	151.0	27.27272727272727	525436.0
SRR10141098_2	87.00317450650508	45.0	151.0	27.27272727272727	525436.0
SRR10141099_1	90.7702768987762	45.0	151.0	27.27272727272727	564719.0
SRR10141099_2	85.49756604612205	46.0	151.0	18.181818181818183	564719.0
SRR10141100_1	90.56617300254693	45.0	151.0	18.181818181818183	530050.0
SRR10141100_2	85.68776530515989	45.0	151.0	18.181818181818183	530050.0
SRR10141101_1	90.74645329822027	46.0	151.0	18.181818181818183	753376.0
SRR10141101_2	87.2939939684832	46.0	151.0	18.181818181818183	753376.0
SRR10141102_1	91.44949925420839	45.0	151.0	18.181818181818183	750880.0
SRR10141102_2	89.05484231834647	45.0	151.0	18.181818181818183	750880.0
SRR10141103_1	91.72747376649492	46.0	151.0	18.181818181818183	688242.0
SRR10141103_2	89.11022576361222	46.0	151.0	18.181818181818183	688242.0
SRR10141104_1	91.73413725901602	49.0	151.0	20.0	1467409.0
SRR10141104_2	87.33409543368803	49.0	151.0	20.0	1467409.0
SRR10141105_1	92.51310477115416	45.0	151.0	20.0	3051190.0
SRR10141105_2	88.63765090322187	45.0	151.0	20.0	3051190.0
SRR10141106_1	91.30124899933719	45.0	151.0	9.090909090909092	580865.0
SRR10141106_2	88.48648136830417	45.0	151.0	18.181818181818183	580865.0
SRR10141107_1	90.74566519338026	44.0	151.0	10.0	1493223.0
SRR10141107_2	87.17949983529824	44.0	151.0	10.0	1493223.0
SRR10141108_1	92.93910039924297	44.0	151.0	10.0	1196264.0
SRR10141108_2	90.28450290653551	44.0	151.0	10.0	1196264.0
SRR10141109_1	92.20275274053716	45.0	151.0	10.0	1052987.0
SRR10141109_2	89.67758053412057	45.0	151.0	10.0	1052987.0
SRR10141110_1	91.04563999539795	48.0	126.0	18.181818181818183	564965.0
SRR10141110_2	90.05566716522263	48.0	126.0	18.181818181818183	564965.0
SRR10141111_1	91.39157933022604	46.0	151.0	27.27272727272727	593872.0
SRR10141111_2	88.39817334375084	46.0	151.0	27.27272727272727	593872.0
SRR10141112_1	89.25287498250727	48.0	151.0	27.27272727272727	485916.0
SRR10141112_2	85.1058619185209	48.0	151.0	27.27272727272727	485916.0
SRR10141113_1	87.59364131715573	48.0	151.0	18.181818181818183	280058.0
SRR10141113_2	85.7836590991866	48.0	151.0	18.181818181818183	280058.0
SRR10141114_1	89.91425912003723	51.0	151.0	27.27272727272727	223464.0
SRR10141114_2	88.61024594565568	51.0	151.0	27.27272727272727	223464.0
SRR10141115_1	89.48714109666348	46.0	151.0	18.181818181818183	347308.0
SRR10141115_2	87.01671139161782	46.0	151.0	18.181818181818183	347308.0
SRR10141116_1	91.56683256781898	49.0	151.0	30.0	1646742.0
SRR10141116_2	88.78258365243106	49.0	151.0	30.0	1646742.0
SRR10141117_1	90.85598996820165	50.0	151.0	30.0	1330912.0
SRR10141117_2	87.7578945497013	50.0	151.0	30.0	1330912.0
SRR10141118_1	89.34550989510927	45.0	151.0	20.0	1105003.0
SRR10141118_2	87.12693943726715	45.0	151.0	20.0	1105003.0
SRR10141119_1	92.97971385409416	45.0	147.5542450751232	10.0	1315972.0
SRR10141119_2	90.38263723506199	45.0	147.51951637268877	10.0	1315972.0
