Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	per_tile_sequence_quality
SRR10141071_1	SRR10141071_1.fastq	Conventional base calls	Sanger / Illumina 1.9	1781934.0	0.0	151.0	47.0	75.00555964361703	151.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	fail	
SRR10141071_2	SRR10141071_2.fastq	Conventional base calls	Sanger / Illumina 1.9	1781934.0	0.0	151.0	47.0	75.65337733734725	151.0	pass	pass	pass	warn	warn	pass	pass	pass	pass	fail	
SRR10141072_1	SRR10141072_1.fastq	Conventional base calls	Sanger / Illumina 1.9	573319.0	0.0	151.0	46.0	8.44102497911285	151.0	pass	pass	pass	pass	fail	pass	pass	fail	warn	pass	pass
SRR10141072_2	SRR10141072_2.fastq	Conventional base calls	Sanger / Illumina 1.9	573319.0	0.0	151.0	46.0	14.157563241406617	151.0	pass	pass	pass	pass	fail	pass	pass	fail	warn	pass	pass
SRR10141073_1	SRR10141073_1.fastq	Conventional base calls	Sanger / Illumina 1.9	1484910.0	0.0	151.0	45.0	8.283751554962143	151.0	pass	pass	pass	pass	fail	pass	pass	fail	warn	warn	
SRR10141073_2	SRR10141073_2.fastq	Conventional base calls	Sanger / Illumina 1.9	1484910.0	0.0	151.0	45.0	10.403367258644115	151.0	pass	pass	pass	pass	fail	pass	pass	fail	warn	warn	
SRR10141074_1	SRR10141074_1.fastq	Conventional base calls	Sanger / Illumina 1.9	1300048.0	0.0	151.0	44.0	15.352668736179664	151.0	pass	pass	pass	pass	warn	pass	pass	fail	warn	warn	
SRR10141074_2	SRR10141074_2.fastq	Conventional base calls	Sanger / Illumina 1.9	1300048.0	0.0	151.0	44.0	23.51959069778144	151.0	pass	pass	pass	pass	warn	pass	pass	fail	warn	warn	
SRR10141075_1	SRR10141075_1.fastq	Conventional base calls	Sanger / Illumina 1.9	856187.0	0.0	151.0	44.0	9.148819124794	151.0	pass	pass	pass	pass	fail	pass	pass	fail	warn	warn	
SRR10141075_2	SRR10141075_2.fastq	Conventional base calls	Sanger / Illumina 1.9	856187.0	0.0	151.0	44.0	12.696316736695357	151.0	pass	pass	pass	pass	fail	pass	pass	fail	warn	warn	
SRR10141076_1	SRR10141076_1.fastq	Conventional base calls	Sanger / Illumina 1.9	997602.0	0.0	35-151	49.0	7.2045765746259525	148.44911798492785	pass	fail	pass	warn	fail	pass	warn	fail	warn	pass	
SRR10141076_2	SRR10141076_2.fastq	Conventional base calls	Sanger / Illumina 1.9	997602.0	0.0	35-151	48.0	13.462118557025601	148.8083814988342	pass	fail	pass	warn	fail	pass	warn	fail	warn	pass	
SRR10141077_1	SRR10141077_1.fastq	Conventional base calls	Sanger / Illumina 1.9	878544.0	0.0	35-151	50.0	7.337936403868219	148.68920281738878	pass	fail	pass	warn	fail	pass	warn	fail	warn	pass	
SRR10141077_2	SRR10141077_2.fastq	Conventional base calls	Sanger / Illumina 1.9	878544.0	0.0	35-151	49.0	13.57762815710341	149.00031870913693	pass	fail	pass	warn	fail	pass	warn	fail	warn	pass	
SRR10141078_1	SRR10141078_1.fastq	Conventional base calls	Sanger / Illumina 1.9	1874111.0	0.0	151.0	43.0	7.300624647426769	151.0	pass	pass	pass	pass	fail	pass	pass	fail	warn	fail	
SRR10141078_2	SRR10141078_2.fastq	Conventional base calls	Sanger / Illumina 1.9	1874111.0	0.0	151.0	43.0	12.030473071967977	151.0	pass	pass	pass	pass	fail	pass	pass	fail	warn	fail	
SRR10141079_1	SRR10141079_1.fastq	Conventional base calls	Sanger / Illumina 1.9	1894348.0	0.0	151.0	43.0	7.110352804674388	151.0	pass	pass	pass	pass	fail	pass	pass	fail	warn	warn	
SRR10141079_2	SRR10141079_2.fastq	Conventional base calls	Sanger / Illumina 1.9	1894348.0	0.0	151.0	43.0	11.810204387630625	151.0	pass	pass	pass	pass	fail	pass	pass	fail	warn	warn	
SRR10141080_1	SRR10141080_1.fastq	Conventional base calls	Sanger / Illumina 1.9	2080809.0	0.0	151.0	43.0	7.310269732178294	151.0	pass	pass	pass	pass	fail	pass	pass	fail	warn	warn	
SRR10141080_2	SRR10141080_2.fastq	Conventional base calls	Sanger / Illumina 1.9	2080809.0	0.0	151.0	43.0	10.98168173718087	151.0	pass	pass	pass	pass	fail	pass	pass	fail	warn	warn	
SRR10141081_1	SRR10141081_1.fastq	Conventional base calls	Sanger / Illumina 1.9	957124.0	0.0	151.0	45.0	7.13627492362536	151.0	pass	pass	pass	pass	fail	pass	pass	fail	warn	pass	pass
SRR10141081_2	SRR10141081_2.fastq	Conventional base calls	Sanger / Illumina 1.9	957124.0	0.0	151.0	45.0	11.889716438139853	151.0	pass	pass	pass	pass	fail	pass	pass	fail	warn	pass	pass
SRR10141082_1	SRR10141082_1.fastq	Conventional base calls	Sanger / Illumina 1.9	609941.0	0.0	151.0	44.0	8.480984226343203	151.0	pass	pass	pass	pass	fail	pass	pass	fail	warn	pass	pass
SRR10141082_2	SRR10141082_2.fastq	Conventional base calls	Sanger / Illumina 1.9	609941.0	0.0	151.0	44.0	11.005326744717932	151.0	pass	pass	pass	pass	fail	pass	pass	fail	warn	pass	pass
SRR10141083_1	SRR10141083_1.fastq	Conventional base calls	Sanger / Illumina 1.9	1151192.0	0.0	35-151	48.0	71.33581964440596	144.32990152815518	pass	fail	pass	warn	warn	pass	warn	pass	warn	pass	
